Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
280586030000,OXYGEN SENSOR,SRV 250 AMT,598900,65879,664779,MEDIUM,ELECTRICAL,1
280596090000,WATER TEMPERATURE SENSOR,FORD 250,68450,7529,75979,MEDIUM,ELECTRICAL,1
289005450000,THROTTLING VALVE BODY ASSEMBLY,FORD 250,764310,84074,848384,MEDIUM,ENGINE,1
289006590000,THROTTLING BODY ASSEMBLY,SRV 250 AMT,735790,80936,816726,MEDIUM,OTHER,1
289016590020,THROTTLE SET,SRV 250 AMT,3045810,335039,3380849,MEDIUM,OTHER,1
289016680010,THROTTLE VALVE ASSEMBLY,SRK 800 RR,4409000,484990,4893990,MEDIUM,ENGINE,1
289016900000,THROTTLE VALVE COMPONENT,SRV 600 V,4294930,472442,4767372,MEDIUM,ENGINE,1
289026590010,STEPPER MOTOR ASSEMBLY,SRV 250 AMT,444900,48939,493839,MEDIUM,OTHER,1
289026680000,AIR INTAKE PIPE,SRK 800 RR,28520,3137,31657,MEDIUM,OTHER,1
289035210000,THE NOZZLE,SRV 250 AMT,370750,40782,411532,MEDIUM,OTHER,1
289036480000,INJECTOR,FORD 250,330820,36390,367210,MEDIUM,OTHER,1
289036610000,OIL INJECTOR,SRK 800 RR,370750,40782,411532,FAST,OIL_FLUID,1
289045450000,FUEL INJECTOR SEAT,FORD 250,34230,3765,37995,MEDIUM,BODY,1
289076590000,OIL PUMP ASSEMBLY,SRV 250 AMT,125490,13803,139293,FAST,ENGINE,1
289086590000,DRIVEN GEAR OF OIL PUMP,SRV 250 AMT,28520,3137,31657,FAST,ENGINE,1
289105450000,PIPE INTAKE,FORD 250,159710,17568,177278,MEDIUM,OTHER,1
289135450000,INSULATION PAD,FORD 250,5710,628,6338,MEDIUM,OTHER,1
289156590000,WIRE CLIP,SRV 250 AMT,5710,628,6338,MEDIUM,FASTENER,1
289176590000,AIR INTAKE PIPE BENDING,SRV 250 AMT,228150,25096,253246,MEDIUM,OTHER,1
289206590000,O-RING (FLANGED BODY),SRV 250 AMT,5710,628,6338,MEDIUM,OTHER,1
289216590000,THE NOZZLE CAP,SRV 250 AMT,5710,628,6338,MEDIUM,OTHER,1
289406590000,ANCHOR SUPPORT,SRV 250 AMT,11410,1255,12665,MEDIUM,OTHER,1
289466590000,CARD HOLDER,SRV 250 AMT,5710,628,6338,MEDIUM,OTHER,1
289516900000,AIR INTAKE PIPE,SRV 600 V,28520,3137,31657,MEDIUM,OTHER,1
289993060000,TUBE JOINTER,FORD 250,5710,628,6338,MEDIUM,OTHER,1
29001307001X,SCREW,FORD 250,5710,628,6338,FAST,FASTENER,1
290026090000,WASHER ? 6,FORD 250,5710,628,6338,FAST,FASTENER,1
299025450000,FLYWHEEL ASSEMBLY,FORD 250,832750,91602,924352,MEDIUM,OTHER,1
299026030000,FLYWHEEL COMBINATION,SRV 600 V,929720,102269,1031989,MEDIUM,OTHER,1
299026590000,THE FLYWHEEL COMBINATION,SRV 250 AMT,365040,40154,405194,MEDIUM,OTHER,1
299026680000,FLYWHEEL ASSEMBLY,SRK 800 RR,872680,95994,968674,MEDIUM,OTHER,1
299035110020,STATOR ASSEMBLY,FORD 250,342230,37645,379875,MEDIUM,OTHER,1
299036030030,STATOR ASSEMBLY,SRV 600 V,342230,37645,379875,MEDIUM,OTHER,1
299036590000,COMBINATION OF THE STATOR,SRV 250 AMT,764310,84074,848384,MEDIUM,OTHER,1
299036680000,STATOR  ASSEMBLY,SRK 800 RR,901200,99132,1000332,MEDIUM,OTHER,1
299066570000,RECTIFIER,FORD 250,416380,45801,462181,MEDIUM,OTHER,1
29906N490000,RECTIFIER,SRV 250 AMT,290900,31999,322899,MEDIUM,OTHER,1
299086680000,WASHER 10.6×27×34,SRK 800 RR,11410,1255,12665,FAST,FASTENER,1
299096680000,BOLT M10×39,SRK 800 RR,11410,1255,12665,FAST,FASTENER,1
2990NGK00001,SPARK PLUG CR8E,SRK 800 RR,28520,3137,31657,FAST,ELECTRICAL,1
2990NGK00002,SPARK PLUG LMAR8A-9,SRV 250 AMT/FORD 250/SRV 600 V/SRK 800 RR,106370,11700,118070,FAST,ELECTRICAL,1
299426680000,CLAMP BAFFLE,SRK 800 RR,11410,1255,12665,FAST,ELECTRICAL,1
310013870011,VEHICLE SPEED SENSOR,SRV 250 AMT,159710,17568,177278,MEDIUM,ELECTRICAL,1
310013870012,VEHICLE SPEED SENSOR,SRV 250 AMT,159710,17568,177278,MEDIUM,ELECTRICAL,1
310015040000,INTAKE AIR TEMPERATURE SENSOR,FORD 250,62750,6902,69652,MEDIUM,ELECTRICAL,1
310016680000,OIL PRESSURE SWITCH,SRK 800 RR,68450,7529,75979,FAST,ELECTRICAL,1
3350501K0010,CLAMP 7.5,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
379017060000,CLUTCH ACTUATOR ASSEMBLY,SRV 250 AMT,5167600,568436,5736036,MEDIUM,ENGINE,1
379027060000,SHIFT ACTUATOR ASSEMBLY,SRV 250 AMT,4323450,475579,4799029,MEDIUM,OTHER,1
379107060000,CLUTCH SPLINE SLEEVE,SRV 250 AMT,28520,3137,31657,MEDIUM,ENGINE,1
379117060000,SHIFT SPLINE SLEEVE,SRV 250 AMT,22820,2510,25330,MEDIUM,OTHER,1
40001K740000,LEFT HANDLEBAR SLEEVE,SRV 250 AMT,22820,2510,25330,MEDIUM,OTHER,1
40001N510000,LEFT HANDLE COVER,FORD 250,34230,3765,37995,MEDIUM,BODY,1
40001PC20000,LEFT DIRECTION HANDLE SLEEVE,SRV 600 V,17120,1883,19003,MEDIUM,OTHER,1
40011P950000,REAR VIEW MIRROR BASE BUFFER RUBBER,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
40012P130000,REAR VIEW MIRROR RUBBER PLUG,SRK 800 RR,5710,628,6338,FAST,OTHER,1
40013P130000,RELEASE HANDLE PLUG,SRK 800 RR,5710,628,6338,FAST,OTHER,1
40022N050002,CLAMP,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
40023P250000,CLAMP THE CORD IN THE DIRECTION,FORD 250,5710,628,6338,FAST,ELECTRICAL,1
40031N510001,LEFT BALANCE WEIGHT,FORD 250,34230,3765,37995,MEDIUM,OTHER,1
40031P130003,BALANCE BLOCK,SRV 250 AMT,45630,5019,50649,MEDIUM,OTHER,1
40031S010000,BALANCE BLOCK,SRV 600 V,11410,1255,12665,MEDIUM,OTHER,1
40031T030100,HANDLE BASE PRESSURE BLOCK,FORD 250,5710,628,6338,MEDIUM,OTHER,1
40032P250000,BALANCE BLOCK INSTALLATION SEAT,SRV 250 AMT,17120,1883,19003,MEDIUM,BODY,1
40040P130000,BUFFER LINER,SRV 250 AMT,11410,1255,12665,MEDIUM,OTHER,1
40041N510000,RIGHT BALANCE WEIGHT,FORD 250,34230,3765,37995,MEDIUM,OTHER,1
40046N510000,SHOCKPROOF RUBBER FOR STEERING HANDLE,FORD 250,5710,628,6338,MEDIUM,OTHER,1
40047B470100,BUSHING,SRK 800 RR,5710,628,6338,MEDIUM,SUSPENSION,1
40047N510000,SHOCKPROOF RUBBER MOUNTING GASKET,FORD 250,5710,628,6338,FAST,FASTENER,1
40080P410100,HANDLE AS-LH,SRK 800 RR,193930,21332,215262,MEDIUM,OTHER,1
40080PBD0000,LEFT HANDLE ASSEMBLY,SRV 600 V,684450,75289,759739,MEDIUM,OTHER,1
40083P250000,LEFT HANDLE BASE SCREW,SRK 800 RR,5710,628,6338,FAST,FASTENER,1
